Country/Territory,Population (2010)Pew estimate,% Buddhist (2010)Pew estimate,No. of Buddhists (2010)Pew estimate,No. of BuddhistsOther estimates
Afghanistan,31410000,< 0.1%,"< 10,000",
Albania,3200000,< 0.1%,"< 10,000",
Algeria,35470000,< 0.1%,"< 10,000",
American Samoa,70000,0.3%,"< 10,000",
Andorra,80000,< 0.1%,"< 10,000",
Angola,19080000,< 0.1%,"< 10,000",


Argentina,40410000,< 0.1%,20000,
Armenia,3090000,< 0.1%,"< 10,000",
Aruba,110000,0.1%,"< 10,000",
Australia,22270000,2.7%,600000,
Austria,8390000,0.2%,20000,
Azerbaijan,9190000,< 0.1%,"< 10,000",
Bahamas,340000,< 0.1%,"< 10,000",
Bahrain,1260000,2.5%,30000,
Bangladesh,148690000,0.5%,720000,0.6% (2011 census)
Barbados,270000,< 0.1%,"< 10,000",
Belarus,9600000,< 0.1%,"< 10,000",
Belgium,10710000,0.2%,30000,0.3% (2018)

Belize,310000,0.5%,"< 10,000",
Benin,8850000,< 0.1%,"< 10,000",
Bermuda,60000,0.5%,"< 10,000",
Bhutan,730000,74.7%,540000,
Bolivia,9930000,< 0.1%,"< 10,000",

Botswana,2010000,< 0.1%,"< 10,000",

Brazil,194950000,0.1%,250000,


Brunei,400000,8.6%,30000,
Bulgaria,7490000,< 0.1%,"< 10,000",
Burkina Faso,16470000,< 0.1%,"< 10,000",

Cambodia,14140000,96.9%,13690000,97.9% (2013) https://www.cia.gov/library/publications/the-world-factbook/geos/cb.html
Cameroon,19600000,< 0.1%,"< 10,000",
Canada,34020000,0.8%,280000,"1.1% / 366,830 (2011 Census)"



Chad,11230000,< 0.1%,"< 10,000",
Chile,17110000,< 0.1%,10000,
Mainland China,1341340000,18.2%,244130000,


Colombia,46290000,< 0.1%,"< 10,000",

Congo (Kinshasa),65970000,< 0.1%,"< 10,000",
Congo (Brazzaville),4040000,< 0.1%,"< 10,000",

Costa Rica,4660000,< 0.1%,"< 10,000","2.34% / 100,000 (2012)"
Cote d'Ivoire,19740000,< 0.1%,"< 10,000",
Croatia,4400000,< 0.1%,"< 10,000",
Cuba,11260000,< 0.1%,"< 10,000",
Cyprus,1100000,0.2%,"< 10,000",
Czech Republic,10490000,< 0.1%,"< 10,000",

Denmark,5550000,0.2%,10000,"1.1% / 64,000 (2018)"

Dominica,70000,0.1%,"< 10,000",





















France,62790000,0.5%,280000,








Germany,82300000,0.3%,210000,"270,000 (2016)"






Guam,180000,1.1%,"< 10,000",






Honduras,7600000,0.1%,"< 10,000",
Hong Kong,7050000,13.2%,930000,

Iceland,320000,0.4%,"< 10,000",
India,1224610000,0.8%,9250000,"0.7% / 8,442,972 ( 2011 Census )"
Indonesia,239870000,0.7%,1720000,


Ireland,4470000,0.2%,"< 10,000",
Israel,7420000,0.3%,20000,
